# 
# runname = 'GJ1214'; g = 1.0650e+03; mgas = 8.3027e-24; rho_int = 2.8000e+00; an = 1.0000e-07; mn0 = 1.1729e-20; f_stick = 1.0000e+00; T_star = 3.1100e+03; cs_com = 8.0000e-15; cs_mol = 2.0000e-15; Pref = 1.0000e+06; R_star = 1.5040e+10; Rp = 1.7516e+09; rp = 2.2290e+11; gibbsfile = '/home/helong/ARCiS/code/tables/gibbs_test.txt'; rootdir = '/home/helong/ARCiS/code'; 
# 2Na + 2HCl -> 2NaCl(s) + H2; 2K + 2HCl -> 2KCl(s) + H2; Zn + H2S -> ZnS(s) + H2; 2Na + H2S -> Na2S(s) + H2; 
#cols::logP T(K) rhop(gcm-3) ap(cm) Sn NaCl(s) KCl(s) ZnS(s) Na2S(s) Na HCl K Zn H2S nuclei
  6.8552e-01  5.0419e+02  2.0234e+00  3.0829e-06  2.0989e-85  4.6919e-17  7.7590e-12  1.9946e-11  1.1327e-10  7.3959e-15  1.8965e-17  2.7955e-05  3.3686e-18  7.6148e-03  6.6585e-15
  7.0620e-01  5.0419e+02  2.0234e+00  3.0829e-06  1.2166e-84  6.1440e-17  1.0160e-11  2.6119e-11  1.4832e-10  7.3959e-15  1.8965e-17  2.7955e-05  3.3686e-18  7.6148e-03  8.7193e-15
  7.2688e-01  5.0419e+02  2.0234e+00  3.0829e-06  6.9766e-84  8.0066e-17  1.3240e-11  3.4037e-11  1.9329e-10  7.3958e-15  1.8965e-17  2.7955e-05  3.3686e-18  7.6148e-03  1.1363e-14
  7.4757e-01  5.0419e+02  2.0234e+00  3.0829e-06  3.9582e-83  1.0384e-16  1.7172e-11  4.4145e-11  2.5069e-10  7.3958e-15  1.8965e-17  2.7955e-05  3.3686e-18  7.6148e-03  1.4737e-14
  7.6825e-01  5.0420e+02  2.0234e+00  3.0829e-06  2.2218e-82  1.3405e-16  2.2167e-11  5.6985e-11  3.2360e-10  7.3958e-15  1.8965e-17  2.7955e-05  3.3686e-18  7.6148e-03  1.9023e-14
  7.8893e-01  5.0420e+02  2.0234e+00  3.0829e-06  1.2339e-81  1.7224e-16  2.8483e-11  7.3222e-11  4.1581e-10  7.3957e-15  1.8965e-17  2.7955e-05  3.3686e-18  7.6148e-03  2.4443e-14
  8.0961e-01  5.0420e+02  2.0234e+00  3.0829e-06  6.7797e-81  2.2031e-16  3.6432e-11  9.3657e-11  5.3185e-10  7.3957e-15  1.8965e-17  2.7955e-05  3.3686e-18  7.6148e-03  3.1265e-14
  8.3030e-01  5.0420e+02  2.0234e+00  3.0829e-06  3.6854e-80  2.8054e-16  4.6392e-11  1.1926e-10  6.7725e-10  7.3956e-15  1.8965e-17  2.7955e-05  3.3686e-18  7.6148e-03  3.9812e-14
  8.5098e-01  5.0420e+02  2.0234e+00  3.0829e-06  1.9821e-79  3.5566e-16  5.8815e-11  1.5120e-10  8.5861e-10  7.3955e-15  1.8965e-17  2.7955e-05  3.3685e-18  7.6148e-03  5.0473e-14
  8.7166e-01  5.0421e+02  2.0234e+00  3.0829e-06  1.0547e-78  4.4896e-16  7.4243e-11  1.9086e-10  1.0838e-09  7.3954e-15  1.8964e-17  2.7955e-05  3.3685e-18  7.6148e-03  6.3713e-14
  8.9234e-01  5.0421e+02  2.0234e+00  3.0829e-06  5.5522e-78  5.6431e-16  9.3318e-11  2.3990e-10  1.3623e-09  7.3952e-15  1.8964e-17  2.7955e-05  3.3685e-18  7.6148e-03  8.0083e-14
  9.1302e-01  5.0421e+02  2.0234e+00  3.0829e-06  2.8918e-77  7.0633e-16  1.1680e-10  3.0027e-10  1.7052e-09  7.3950e-15  1.8964e-17  2.7955e-05  3.3685e-18  7.6148e-03  1.0024e-13
  9.3371e-01  5.0421e+02  2.0234e+00  3.0829e-06  1.4901e-76  8.8047e-16  1.4560e-10  3.7430e-10  2.1255e-09  7.3948e-15  1.8963e-17  2.7955e-05  3.3685e-18  7.6148e-03  1.2495e-13
  9.5439e-01  5.0422e+02  2.0234e+00  3.0829e-06  7.5970e-76  1.0931e-15  1.8076e-10  4.6468e-10  2.6388e-09  7.3945e-15  1.8963e-17  2.7955e-05  3.3684e-18  7.6148e-03  1.5512e-13
