logP MgSiO3(s) Mg2SiO4(s) SiO2(s) MgO(s) FeO(s) FeS(s) Fe2O3(s) Fe(s) TiO2(s) Al2O3(s) Mg SiO H2O Fe H2S TiO Al nuclei
0.34604747932875063 1.3576083114204315e-15 5.734069193514215e-17 1.7827386502949436e-14 1.9829896601253547e-15 2.2609336171454968e-21 7.422582787294463e-17 1.1907163346821582e-39 6.76930428060763e-15 3.5180095062164104e-14 5.025394688038711e-13 6.839552786545272e-05 0.00031747495125071285 1.3358385317195192e-06 8.027697597870475e-08 0.0007992980845511877 1.1474519204169743e-14 3.827044469067156e-12 5.610351775938174e-13
0.3664032134069125 1.7161665842370152e-15 7.397050039542606e-17 2.20824221284746e-14 2.4564090611776078e-15 2.800698318330927e-21 9.194445278321591e-17 1.50518001114744e-39 8.361917795222895e-15 4.142373073963187e-14 5.914450468664194e-13 6.839552786540374e-05 0.00031747495125034265 1.3358385313702952e-06 8.027697578515266e-08 0.000799298084551187 1.1474425660952938e-14 3.826883470152766e-12 7.00255639207824e-13
0.3867589474850742 2.156190715394308e-15 9.48410754679105e-17 2.7186192317455295e-14 3.024296105728016e-15 3.4481546804428436e-21 1.1319760442618535e-16 1.8910719798664206e-39 1.026738237128755e-14 4.836617464416642e-14 6.901928506895142e-13 6.839552786534292e-05 0.000317474951249886 1.3358385309423828e-06 8.02769755448706e-08 0.000799298084551186 1.1474310134798266e-14 3.8266880211770376e-12 8.690190384709276e-13
0.4071146815632361 2.6931790017574976e-15 1.2088827158943104e-16 3.327367041115999e-14 3.701680418363719e-15 4.220425556746056e-21 1.3854711382598168e-16 2.361967568062654e-39 1.2534816404206068e-14 5.6007482705663436e-14 7.987405520178659e-13 6.839552786526782e-05 0.0003174749512493259 1.3358385304214326e-06 8.027697524880163e-08 0.0007992980845511849 1.1474168596423437e-14 3.8264525745339035e-12 1.0723921705461565e-12
0.42747041564139776 3.3450403480944248e-15 1.5322481587587108e-16 4.049607728344102e-14 4.505391457143232e-15 5.1366723095585685e-21 1.6862196074145853e-16 2.9335428684538207e-39 1.521916722939682e-14 6.433350881224722e-14 9.16833817050996e-13 6.839552786517561e-05 0.0003174749512486426 1.335838529791181e-06 8.02769748865295e-08 0.0007992980845511836 1.147399652632877e-14 3.826171044747185e-12 1.3160648205025375e-12
0.44782614971955964 4.132437380936511e-15 1.9317100117704189e-16 4.902256098524926e-14 5.4542602843901864e-15 6.218331815049666e-21 2.0412568987303512e-16 3.623876283459551e-39 1.838173332812093e-14 7.331477293633055e-14 1.0439888568675055e-12 6.839552786506298e-05 0.0003174749512478134 1.3358385290332112e-06 8.027697444608253e-08 0.0007992980845511819 1.1473788903500704e-14 3.8258368171815425e-12 1.6063873452494905e-12
0.46818188379772147 5.079140916186491e-15 2.4228849699847287e-16 5.904192973540118e-14 6.56930185109448e-15 7.489317532734023e-21 2.4584329118116036e-16 4.453754374460964e-39 2.2090848818692405e-14 8.290595170372661e-14 1.1794837910130028e-12 6.839552786492607e-05 0.0003174749512468122 1.3358385281268336e-06 8.027697391372759e-08 0.0007992980845511799 1.1473540202687019e-14 3.825442766818883e-12 1.9504086825518936e-12
0.4885376178758833 6.212448235119315e-15 3.024204879812836e-16 7.076454070668635e-14 7.873937702573569e-15 8.97628439356067e-21 2.9464954692759686e-16 5.4470440095713644e-39 2.6422658928653277e-14 9.304547760584469e-14 1.322351410021884e-12 6.839552786476045e-05 0.00031747495124560913 1.3358385270488735e-06 8.027697327375959e-08 0.0007992980845511775 1.1473244400588391e-14 3.824981285557817e-12 2.35590639122972e-12
0.5088933519540451 7.563657182077794e-15 3.757380792751284e-16 8.44247181896268e-14 9.394250723283933e-15 1.070891708486931e-20 3.5151870556313765e-16 6.631110666096309e-39 3.1462839543236156e-14 1.0365626896370164e-13 1.4713881150495867e-12 6.839552786456098e-05 0.00031747495124417 1.3358385257734642e-06 8.027697250851811e-08 0.0007992980845511746 1.1472894992406436e-14 3.8244443200521225e-12 2.8314169849937202e-12
0.5292490860322069 9.168639673656806e-15 4.647959568353826e-16 1.0028356134199073e-13 1.1159309353076945e-14 1.2720301315218984e-20 4.1753661936629107e-16 8.03732516331196e-39 3.7307964696391635e-14 1.1464727903527133e-13 1.6251745835438987e-12 6.839552786432174e-05 0.00031747495124245583 1.3358385242717764e-06 8.027697159845215e-08 0.0007992980845511712 1.1472485019455261e-14 3.823823419766792e-12 3.386264093064489e-12
0.5496048201103686 1.1068540499968294e-14 5.725996540421537e-16 1.1863237496118643e-13 1.3201578684241321e-14 1.5047413979027363e-20 4.939160577524314e-16 9.701695773438336e-39 4.406692515229296e-14 1.2591591816597747e-13 1.7821089780795492e-12 6.839552786403589e-05 0.00031747495124042214 1.3358385225116561e-06 8.027697052219139e-08 0.0007992980845511672 1.1472007108007018e-14 3.8231097946313625e-12 4.030582617247756e-12
0.5699605541885304 1.3310419647021017e-14 7.026746734374492e-16 1.3979601898024572e-13 1.555719655932254e-14 1.773139595605203e-20 5.820077494921087e-16 1.1665412602864944e-38 5.186279114729198e-14 1.3735358619446612e-13 1.9404852328416835e-12 6.839552786369572e-05 0.0003174749512380191 1.3358385204579085e-06 8.027696925664874e-08 0.0007992980845511624 1.1471453521505665e-14 3.822294383832026e-12 4.775349893875628e-12
0.5903162882666922 1.5948161446380175e-14 8.591600202055007e-16 1.6413661199446058e-13 1.8266489049765756e-14 2.0818197255277292e-20 6.833190341753595e-16 1.3975680850006972e-38 6.083382568121417e-14 1.4884613734653503e-13 2.098497754984108e-12 6.839552786329233e-05 0.0003174749512351901 1.3358385180714245e-06 8.027696777700137e-08 0.0007992980845511568 1.1470816218228698e-14 3.821367927033797e-12 5.632385961446099e-12
0.6106720223448541 1.9043443300774386e-14 1.0469090418070865e-15 1.92058712638277e-13 2.1374485133923422e-14 2.4359128945880455e-20 7.995336015444709e-16 1.668655337185054e-38 7.113546521444708e-14 1.6028091337714183e-13 2.254341551137312e-12 6.839552786281562e-05 0.0003174749512318711 1.3358385153090135e-06 8.027696605664032e-08 0.0007992980845511503 1.147008692166497e-14 3.820321045675018e-12 6.614376216778377e-12
0.6310277564230158 2.2666923697536953e-14 1.2716139621651722e-15 2.2401477639047072e-13 2.4931557158348707e-14 2.8411611657570046e-20 9.325353021625612e-16 1.985996853854671e-38 8.294206815522706e-14 1.7155250991359805e-13 2.406294177156732e-12 6.839552786225393e-05 0.0003174749512279895 1.3358385121228729e-06 8.027696406701034e-08 0.0007992980845511426 1.1469257199072486e-14 3.819144329325066e-12 7.734884370397415e-12
0.6513834905011776 2.689952518372977e-14 1.5399465533022665e-15 2.605109481293585e-13 2.8994058362674964e-14 3.303989272404299e-20 1.0844322221696664e-15 2.356684409391611e-38 9.644867453975912e-14 1.8256849349343652e-13 2.5527973065652633e-12 6.839552786159405e-05 0.00031747495122346316 1.335838508460119e-06 8.027696177731396e-08 0.0007992980845511337 1.1468318545763286e-14 3.817828424569662e-12 9.008363847179486e-12
0.6717392245793395 3.1833846004350994e-14 1.8597179038793913e-15 3.0211317658682956e-13 3.3624984053780584e-14 3.831575320121504e-20 1.2575819895948446e-15 2.788823748501169e-38 1.1187287028882347e-13 1.932550326892026e-13 2.6925374702444558e-12 6.839552786082083e-05 0.0003174749512181995 1.3358385042623006e-06 8.027695915408333e-08 0.0007992980845511234 1.1467262472748238e-14 3.8163641245672966e-12 1.0450167622226564e-11
0.6920949586575014 3.757580281975638e-14 2.2400719715835694e-15 3.494538036568696e-13 3.8894736292239516e-14 4.4319512431985436e-20 1.454620453622405e-15 3.291699052821183e-38 1.294568215756111e-13 2.0356223055380273e-13 2.82452294893506e-12 6.839552785991702e-05 0.000317474951212094 1.335838499464712e-06 8.02769561606667e-08 0.0007992980845511115 1.1466080595234062e-14 3.8147424575942016e-12 1.2076556620465845e-11
0.7124506927356632 4.424638989108425e-14 2.691698059584365e-15 4.032384028569027e-13 4.4881875210565514e-14 5.114086870370153e-20 1.6784903832113284e-15 3.8759291569218704e-38 1.494694553964253e-13 2.1346881311580567e-13 2.948151846354344e-12 6.839552785886294e-05 0.0003174749512050286 1.3358384939956986e-06 8.027695275670932e-08 0.0007992980845510977 1.1464764719164714e-14 3.812954772587191e-12 1.3904707091559265e-11
